variant,use_cot,log_odds,label_yes,prob_yes
plain,True,-1.6934534654393436,0,0.15532221552844688
plain,True,-1.9221940783160376,0,0.12761709780098204
plain,True,-1.38437769143453,1,0.2003068434910073
plain,True,-1.3152876028084477,1,0.21160338198616532
plain,True,-1.5082642319098647,0,0.1811961763682512
plain,True,-1.7846175576330607,0,0.14373389523471897
plain,True,-0.6870324713786332,0,0.33469353956863734
plain,True,-2.133264259386387,0,0.10590550263724928
plain,True,-1.3100937544124927,0,0.21247115603970082
plain,True,-1.4618134323494636,0,0.18819012214443923
plain,True,-1.9832216827445321,0,0.1209758234218657
plain,True,-0.561116561786559,1,0.3632891482484963
plain,True,-1.4977271571912154,1,0.1827647549573475
plain,True,-0.8597506003387466,0,0.2973914550256141
plain,True,-1.210333891975002,1,0.22964197794740268
plain,True,-1.4264836994986958,1,0.1936471559005014
plain,True,-1.599371751107154,0,0.16806943963011234
plain,True,-0.6465794758993361,1,0.34376075805373535
plain,True,-1.2641692953593806,0,0.22025700626433287
plain,True,-1.5263213398940778,0,0.17853255537066204
plain,True,-0.8285760430485762,1,0.3039462425429107
plain,True,-1.0712868528036044,0,0.25515843739118177
plain,True,-1.2574615014626986,1,0.22141119011342691
plain,True,-1.0920763293678466,0,0.25122749371128583
plain,True,-0.7343603470444171,0,0.3242386095515031
plain,True,-1.3711850506373746,0,0.20242845114456384
plain,True,-0.9965450339952217,1,0.26962125094686434
plain,True,-1.3465573343772348,1,0.20643377543870675
plain,True,-1.35446722639853,1,0.20514099452911663
plain,True,-1.9975854401333066,0,0.11945666850547962
plain,True,-1.2915711012938942,0,0.21558700434560213
plain,True,-1.6718369307036716,0,0.1581794219401866
plain,True,-1.054513760064287,0,0.2583592774391416
plain,True,-1.516588839656386,1,0.1799643794486699
plain,True,-1.6199085969359912,1,0.16521747617593416
plain,True,-1.2397319221871155,0,0.22448265200150724
plain,True,-0.655067526877021,0,0.3418484920459396
plain,True,-2.312243689196461,0,0.09011400756718782
plain,True,-1.045428462535826,1,0.26010392729401804
plain,True,-1.1113293322659337,1,0.24762314300656732
plain,True,-1.4438228952626653,1,0.19095404930667204
plain,True,-1.773581208639871,0,0.1450975357820289
plain,True,-1.1756268787169402,0,0.2358394059260962
plain,True,-0.780067623848423,1,0.31430531175714993
plain,True,-0.9023316407854635,1,0.2885715802533827
plain,True,-0.7840574359033915,1,0.313446075243286
plain,True,-1.927829448232745,0,0.12699102206491383
plain,True,-1.120739149400821,1,0.24587420466767576
plain,True,-1.709225016704188,0,0.15326426167816593
plain,True,-0.8334118150214365,0,0.3029241434981542
plain,True,-1.0150267957859003,1,0.26599725176366823
plain,True,-1.0227647950839234,0,0.26448920195149234
plain,True,-1.7544333143724156,0,0.14748889956212527
plain,True,-1.6375844745758916,1,0.16279401156631443
plain,True,-0.7181398465331247,0,0.32780273285006367
plain,True,-1.5494207753892995,0,0.17516994193741736
plain,True,-1.3368135246670918,1,0.20803456166175616
plain,True,-1.810518354979341,0,0.140575489516319
plain,True,-2.401964785864443,0,0.08302299440033191
plain,True,-1.4178236707576808,1,0.19500299009241925
plain,True,-0.17648255390291961,0,0.45599352142876715
plain,True,-1.1912715145073038,1,0.23303160354691202
plain,True,-1.4544251093463325,1,0.18932147143830813
plain,True,-1.3969121411131529,1,0.19830656526571216
plain,True,-1.204582509560061,0,0.230661016837687
plain,True,-1.0752691432919208,0,0.2544023309191071
plain,True,-1.1063177388983596,0,0.2485580130062812
plain,True,-1.453423659044307,1,0.18947522070391062
plain,True,-2.0325780328437424,0,0.11582464593985031
plain,True,-0.7512453091698386,1,0.32055001475871303
plain,True,-1.6549922638501915,1,0.16043537183996534
plain,True,-1.184656489774396,1,0.2342159801556754
plain,True,-1.6818572503914808,0,0.15684969491556797
plain,True,-0.6061359483579755,1,0.35294114340489496
plain,True,-1.2325382691295699,0,0.22573747806004524
plain,True,-1.5937783536728887,0,0.16885297290318546
plain,True,-0.7973779911868499,0,0.3105866711786403
plain,True,-1.1657804922474475,1,0.23761852679485462
plain,True,-0.8301358345394735,1,0.3036163494431528
plain,True,-1.7605847254738147,1,0.14671712219009114
plain,True,-1.143573431732409,0,0.24166487889491053
plain,True,-1.4923312376106153,0,0.1835720792141478
plain,True,-0.4577985728349997,1,0.38750819332568437
plain,True,-1.6902949649608223,0,0.15573705330051674
plain,True,-1.058791637288851,0,0.25754044209218735
plain,True,-1.651321391625783,0,0.16093043968863543
plain,True,-1.3210620615674005,0,0.21064164837900257
plain,True,-1.1129881926560417,0,0.2473142168972498
plain,True,-1.4276499311219937,0,0.1934651163003393
plain,True,-1.4001372978031563,0,0.19779432525752325
plain,True,-1.4658891960142142,1,0.18756824016847812
plain,True,-0.7563320816914636,0,0.3194431401542379
plain,True,-1.2004701597502512,0,0.2313915882547653
plain,True,-1.4344893430208157,1,0.19240015618814107
plain,True,-2.1098259749529076,0,0.10814545033531148
plain,True,-2.007093125348549,1,0.11846019860078699
plain,True,-1.265604862915325,1,0.22001055536916808
plain,True,-1.5471940362914591,0,0.1754919060483938
plain,True,-0.9817392279415285,0,0.272546819164607
plain,True,-1.6442382874284838,1,0.16188918280508152
plain,True,-2.513606230816625,1,0.07490982026071573
plain,True,-1.897598028013826,0,0.13038057179446672
plain,True,-1.3884067017681372,1,0.19966223966133845
plain,True,-1.2247666124817345,1,0.22709870331075452
plain,True,-1.4822368771795669,1,0.18508978992880637
plain,True,-2.215892215775978,1,0.09833241293195091
plain,True,-1.970305634257706,1,0.12235606248266988
plain,True,-1.6304821814384685,1,0.16376431790721188
