layer,clean_dla,corrupt_dla,delta_dla
0,2.4743459224700928,2.4743459224700928,0.0
1,1.0795338153839111,1.0716857959826787,0.007848019401232401
2,2.4354511499404907,2.4172720313072205,0.018179118633270264
3,2.903029223283132,2.884677747885386,0.01835147539774577
4,3.2645298639933267,3.297500709692637,-0.0329708456993103
5,2.527831236521403,2.5131657322247825,0.014665504296620687
6,0.7254299918810526,0.6682226856549581,0.057207306226094566
7,0.98434546093146,0.8671320776144663,0.11721338331699371
8,2.5074474612871804,2.552933394908905,-0.04548593362172445
9,4.992583751678467,5.4924527406692505,-0.4998689889907837
10,3.610534151395162,4.056356489658356,-0.4458223382631938
11,4.785514791806539,4.888339241345723,-0.10282444953918457
12,4.0109211802482605,4.638567229111989,-0.6276460488637289
13,5.293781479199727,6.038267175356547,-0.7444856961568197
14,7.241487105687459,7.411379853884379,-0.16989274819691977
15,7.332072178522746,8.191869695981344,-0.8597975174585978
16,6.9461508591969805,7.6300013065338135,-0.6838504473368326
17,5.145268499851227,5.613238016764323,-0.46796951691309613
18,7.349331061045329,7.9257716337839765,-0.5764405727386475
19,9.736607392628988,10.421582698822021,-0.6849753061930338
20,9.996142705281576,10.214035908381144,-0.2178932030995687
21,10.880047877629599,10.788878281911215,0.09116959571838379
22,11.79058305422465,11.763352632522583,0.02723042170206706
23,13.835730075836182,14.054218769073486,-0.2184886932373047
24,13.80730398495992,13.874462207158407,-0.06715822219848633
25,14.949163834253946,14.992518345514933,-0.04335451126098633
26,14.904388268788656,14.478149970372518,0.4262382984161377
27,15.831465164820353,15.335531075795492,0.49593408902486164
28,15.668376366297403,15.16139324506124,0.5069831212361654
29,14.708809693654379,14.82840085029602,-0.11959115664164226
30,16.267934878667194,15.734749476114908,0.5331854025522867
31,20.659305731455486,19.658191045125324,1.0011146863301594
32,51.16172091166178,50.07424068450928,1.0874802271525066
