layer,clean_dla,corrupt_dla,delta_dla
0,2.1285400390625,2.1285400390625,0.0
1,1.1622489243745804,1.164641261100769,-0.0023923367261886597
2,2.024099200963974,2.0498115718364716,-0.02571237087249756
3,2.1995624899864197,2.2728788554668427,-0.07331636548042297
4,0.5901119410991669,0.8265507444739342,-0.2364388033747673
5,0.269574586302042,0.39311522245407104,-0.12354063615202904
6,0.5322823375463486,0.48605412244796753,0.04622821509838104
7,2.7422113120555878,2.7786465883255005,-0.03643527626991272
8,4.686922252178192,4.970004379749298,-0.28308212757110596
9,2.898323565721512,3.5594732761383057,-0.6611497104167938
10,3.1851538121700287,3.604012608528137,-0.4188587963581085
11,1.5343391299247742,1.9645674973726273,-0.4302283674478531
12,3.0206476747989655,3.5016508996486664,-0.4810032248497009
13,3.8461979925632477,4.086321115493774,-0.24012312293052673
14,5.402778923511505,5.878373622894287,-0.475594699382782
15,5.535818636417389,6.034798085689545,-0.49897944927215576
16,7.043221473693848,7.2670899629592896,-0.2238684892654419
17,6.950973153114319,6.841451704502106,0.10952144861221313
18,8.6089106798172,8.537111639976501,0.07179903984069824
19,10.783629655838013,10.714196801185608,0.06943285465240479
20,12.728125214576721,12.499814748764038,0.2283104658126831
21,11.96622884273529,11.82770836353302,0.1385204792022705
22,13.470246076583862,13.083875179290771,0.3863708972930908
23,13.542088389396667,13.128484964370728,0.41360342502593994
24,13.188116669654846,12.814324140548706,0.37379252910614014
25,13.77751898765564,13.261784791946411,0.5157341957092285
26,15.24647057056427,14.706985116004944,0.5394854545593262
27,13.146050691604614,12.420085072517395,0.7259656190872192
28,13.381646275520325,12.603089451789856,0.7785568237304688
29,12.482357025146484,12.000778794288635,0.4815782308578491
30,13.366906523704529,12.907737255096436,0.45916926860809326
31,15.13332223892212,14.53967559337616,0.5936466455459595
32,41.322529792785645,40.44660472869873,0.8759250640869141
