mode,layer,head,clean_prefix_attn_head,corrupt_prefix_attn_head,delta_prefix_attn_head
anchored,14,0.0,0.65323486328125,0.6537353515625,-0.00050048828125
anchored,14,1.0,0.81466064453125,0.81551513671875,-0.0008544921875
anchored,14,2.0,0.73489990234375,0.736474609375,-0.00157470703125
anchored,14,3.0,0.81861572265625,0.81885986328125,-0.000244140625
anchored,14,4.0,0.74912109375,0.74893798828125,0.00018310546875
anchored,14,5.0,0.4918212890625,0.492010498046875,-0.000189208984375
anchored,14,6.0,0.82191162109375,0.82088623046875,0.001025390625
anchored,14,7.0,0.5434326171875,0.542974853515625,0.000457763671875
anchored,14,8.0,0.80223388671875,0.80238037109375,-0.000146484375
anchored,14,9.0,0.65872802734375,0.65850830078125,0.0002197265625
anchored,14,10.0,0.7409912109375,0.7400390625,0.0009521484375
anchored,14,11.0,0.80784912109375,0.806591796875,0.00125732421875
anchored,14,12.0,0.84033203125,0.8392822265625,0.0010498046875
anchored,14,13.0,0.6161376953125,0.616082763671875,5.4931640625e-05
anchored,14,14.0,0.636578369140625,0.635809326171875,0.00076904296875
anchored,14,15.0,0.6589599609375,0.6587890625,0.0001708984375
anchored,14,16.0,0.969970703125,0.969775390625,0.0001953125
anchored,14,17.0,0.96351318359375,0.96353759765625,-2.44140625e-05
anchored,14,18.0,0.45145263671875,0.450518798828125,0.000933837890625
anchored,14,19.0,0.88006591796875,0.87886962890625,0.0011962890625
anchored,14,20.0,0.86009521484375,0.85980224609375,0.00029296875
anchored,14,21.0,0.759521484375,0.75726318359375,0.00225830078125
anchored,14,22.0,0.36905517578125,0.3677642822265625,0.0012908935546875
anchored,14,23.0,0.8883544921875,0.8882080078125,0.000146484375
anchored,14,24.0,0.2192596435546875,0.2188507080078125,0.000408935546875
anchored,14,25.0,0.85738525390625,0.85743408203125,-4.8828125e-05
anchored,14,26.0,0.8533447265625,0.8544677734375,-0.001123046875
anchored,14,27.0,0.3318145751953125,0.3285552978515625,0.00325927734375
anchored,14,28.0,0.8493408203125,0.8499755859375,-0.000634765625
anchored,14,29.0,0.8854248046875,0.88525390625,0.0001708984375
anchored,14,30.0,0.863818359375,0.86324462890625,0.00057373046875
anchored,14,31.0,0.756103515625,0.7552001953125,0.0009033203125
anchored,15,0.0,0.9126953125,0.91153564453125,0.00115966796875
anchored,15,1.0,0.59300537109375,0.59259033203125,0.0004150390625
anchored,15,2.0,0.622210693359375,0.61982421875,0.002386474609375
anchored,15,3.0,0.93548583984375,0.9355224609375,-3.662109375e-05
anchored,15,4.0,0.95223388671875,0.95196533203125,0.0002685546875
anchored,15,5.0,0.77569580078125,0.7755615234375,0.00013427734375
anchored,15,6.0,0.8865478515625,0.886279296875,0.0002685546875
anchored,15,7.0,0.6832763671875,0.6813720703125,0.001904296875
anchored,15,8.0,0.9080322265625,0.90841064453125,-0.00037841796875
anchored,15,9.0,0.3316986083984375,0.3284454345703125,0.003253173828125
anchored,15,10.0,0.81593017578125,0.8161865234375,-0.00025634765625
anchored,15,11.0,0.44659423828125,0.4442535400390625,0.0023406982421875
anchored,15,12.0,0.448468017578125,0.447857666015625,0.0006103515625
anchored,15,13.0,0.8202880859375,0.8193603515625,0.000927734375
anchored,15,14.0,0.83995361328125,0.83818359375,0.00177001953125
anchored,15,15.0,0.9291015625,0.9292724609375,-0.0001708984375
anchored,15,16.0,0.81365966796875,0.8138916015625,-0.00023193359375
anchored,15,17.0,0.68929443359375,0.687353515625,0.00194091796875
anchored,15,18.0,0.80091552734375,0.79892578125,0.00198974609375
anchored,15,19.0,0.43284912109375,0.432098388671875,0.000750732421875
