mode,layer,head,clean_prefix_attn_head,corrupt_prefix_attn_head,delta_prefix_attn_head
anchored,17,29.0,0.6280517578125,0.623138427734375,0.004913330078125
anchored,16,18.0,0.8246337890625,0.820166015625,0.0044677734375
anchored,18,6.0,0.4271209716796875,0.422802734375,0.0043182373046875
anchored,16,10.0,0.65560302734375,0.65130615234375,0.004296875
anchored,17,8.0,0.61517333984375,0.611138916015625,0.004034423828125
anchored,16,28.0,0.4253662109375,0.4219970703125,0.003369140625
anchored,17,22.0,0.7405517578125,0.7372314453125,0.0033203125
anchored,14,27.0,0.3318145751953125,0.3285552978515625,0.00325927734375
anchored,15,9.0,0.3316986083984375,0.3284454345703125,0.003253173828125
anchored,17,26.0,0.696624755859375,0.693817138671875,0.0028076171875
anchored,16,19.0,0.241583251953125,0.2388031005859375,0.0027801513671875
anchored,18,22.0,0.3542510986328125,0.351519775390625,0.0027313232421875
