mode,layer,clean_dla,corrupt_dla,delta_dla
anchored,0,3.212005615234375,3.212005615234375,0.0
anchored,1,-0.2769657224416733,-0.2761681109666824,-0.0007976114749908448
anchored,2,0.3530908226966858,0.3528005361557007,0.0002902865409851074
anchored,3,0.5346605211496354,0.5317126989364624,0.0029478222131729126
anchored,4,0.9044574365019799,0.9021588265895844,0.0022986099123954774
anchored,5,0.9088790103793144,0.9066134989261627,0.002265511453151703
anchored,6,-0.4878174506127834,-0.4930320315063,0.00521458089351654
anchored,7,2.1181581199169157,2.117289760708809,0.0008683592081069946
anchored,8,2.976468336582184,2.9760164231061936,0.00045191347599029543
anchored,9,2.9188544750213623,2.9218975067138673,-0.0030430316925048827
anchored,10,3.9141966104507446,3.920565503835678,-0.006368893384933472
anchored,11,3.5473748803138734,3.535490185022354,0.011884695291519165
anchored,12,2.988232046365738,2.988758382201195,-0.0005263358354568482
anchored,13,5.521315103769302,5.495571339130402,0.025743764638900758
anchored,14,7.5176154494285585,7.495007336139679,0.022608113288879395
anchored,15,5.703943765163421,5.6799983263015745,0.023945438861846923
anchored,16,7.184793531894684,7.159513974189759,0.025279557704925536
anchored,17,4.305885124206543,4.282596325874328,0.023288798332214356
anchored,18,4.261835384368896,4.231625467538834,0.030209916830062866
anchored,19,5.7225429058074955,5.690914416313172,0.03162848949432373
anchored,20,5.484359467029572,5.458596873283386,0.0257625937461853
anchored,21,3.8219328075647354,3.774727487564087,0.0472053200006485
anchored,22,3.613701543211937,3.579076054692268,0.03462548851966858
anchored,23,4.057247531414032,4.032509964704514,0.024737566709518433
anchored,24,3.206100884079933,3.174375081062317,0.03172580301761627
anchored,25,4.614556908607483,4.582131510972976,0.03242539763450623
anchored,26,4.559195965528488,4.518471592664719,0.04072437286376953
anchored,27,4.342901527881622,4.313001298904419,0.029900228977203368
anchored,28,7.088280332088471,7.067222869396209,0.02105746269226074
anchored,29,7.9009365200996395,7.8983726978302,0.0025638222694396974
anchored,30,11.011123657226562,11.013430762290955,-0.00230710506439209
anchored,31,13.24312150478363,13.226914763450623,0.016206741333007812
anchored,32,45.61092653274536,45.59391784667969,0.01700868606567383
plain,0,3.212005615234375,3.212005615234375,0.0
plain,1,-1.0085014581680298,-1.011012490093708,0.002511031925678253
plain,2,-1.151205737888813,-1.1542444184422493,0.003038680553436279
plain,3,-1.1460963100194932,-1.150013914704323,0.003917604684829712
plain,4,-0.9023318976163864,-0.904303078353405,0.0019711807370185854
plain,5,2.0095349699258804,2.0048226326704026,0.004712337255477905
plain,6,1.6667588889598846,1.665661345422268,0.0010975435376167296
plain,7,3.040039098262787,3.039990562200546,4.853606224060058e-05
plain,8,3.2817376375198366,3.2839746356010435,-0.0022369980812072753
plain,9,2.3742822110652924,2.394502377510071,-0.02022016644477844
plain,10,5.29213680922985,5.307032269239426,-0.01489546000957489
plain,11,5.553290402889251,5.560726797580719,-0.007436394691467285
plain,12,1.4403392255306244,1.4555328607559204,-0.01519363522529602
plain,13,3.4852528274059296,3.4925455123186113,-0.007292684912681579
plain,14,4.544881385564804,4.52486999630928,0.020011389255523683
plain,15,3.811115378141403,3.7895435750484467,0.021571803092956542
plain,16,6.19175996184349,6.1868939876556395,0.004865974187850952
plain,17,3.6427389800548555,3.6211160689592363,0.0216229110956192
plain,18,4.417836135625839,4.392893904447556,0.024942231178283692
plain,19,4.530387741327286,4.490810692310333,0.03957704901695251
plain,20,4.50694215297699,4.485220736265182,0.021721416711807252
plain,21,4.157034289836884,4.142162162065506,0.014872127771377563
plain,22,3.6146568447351455,3.6118251621723174,0.002831682562828064
plain,23,4.574964606761933,4.555376601219177,0.019588005542755128
plain,24,3.8255014538764955,3.812405726313591,0.013095727562904358
plain,25,5.120566499233246,5.094760012626648,0.0258064866065979
plain,26,5.131913447380066,5.111226147413253,0.020687299966812133
plain,27,4.166014933586121,4.139057797193527,0.026957136392593384
plain,28,5.495024919509888,5.486554616689682,0.008470302820205689
plain,29,7.146125304698944,7.137918066978455,0.008207237720489502
plain,30,10.008843183517456,10.008605813980102,0.00023736953735351563
plain,31,13.404457926750183,13.39817042350769,0.006287503242492676
plain,32,44.68370294570923,44.687705516815186,-0.004002571105957031
