mode,condition,layer,eap_sum,eap_mean,eap_max,eap_min
anchored,clean,14,-1.016943359375,-0.005441319942474365,0.96439208984375,-1.1665283203125
anchored,clean,15,-2.565489959716797,-0.013407149910926819,1.055377197265625,-1.6474853515625
anchored,clean,16,-1.1297470092773438,-0.004433184862136841,1.08994140625,-2.228662109375
anchored,clean,17,-3.843310546875,-0.02010335922241211,0.682537841796875,-3.309228515625
anchored,clean,18,-4.4243896484375,-0.02358856201171875,0.7685211181640625,-3.83349609375
anchored,corrupt,14,-1.0459419250488282,-0.00559518039226532,0.9800567626953125,-1.17388916015625
anchored,corrupt,15,-2.639265441894531,-0.013782310485839843,1.081866455078125,-1.6642822265625
anchored,corrupt,16,-1.1726837158203125,-0.004653447866439819,1.0946533203125,-2.2348876953125
anchored,corrupt,17,-3.8955322265625,-0.020328330993652343,0.6902557373046875,-3.31380615234375
anchored,corrupt,18,-4.4692138671875,-0.02373638153076172,0.7751617431640625,-3.84141845703125
plain,clean,14,-1.8398162841796875,-0.010858464241027831,0.9396392822265625,-1.752587890625
plain,clean,15,-1.3996238708496094,-0.007872962951660156,1.09532470703125,-1.841357421875
plain,clean,16,-1.1417827606201172,-0.006106556951999664,1.28995361328125,-1.925537109375
plain,clean,17,-2.22252197265625,-0.012180566787719727,0.9673095703125,-2.08515625
plain,clean,18,-3.113330078125,-0.017789459228515624,1.0345733642578125,-2.8720947265625
plain,corrupt,14,-1.816461181640625,-0.010639715194702148,0.93634033203125,-1.7524169921875
plain,corrupt,15,-1.3753571510314941,-0.007713223993778229,1.087066650390625,-1.84814453125
plain,corrupt,16,-1.1378259658813477,-0.006025736033916473,1.270111083984375,-1.9250732421875
plain,corrupt,17,-2.259912109375,-0.012314414978027344,0.943597412109375,-2.0986328125
plain,corrupt,18,-3.1563644409179688,-0.017898577451705932,1.0180755615234376,-2.903125
